gene_id,cell_type,log2FC,pval,padj,score
ENSG00000285675,Vascular_cell,1.816478,0.49896229860376107,0.9849978674961947,0.6761234
ENSG00000285801,Vascular_cell,1.5874431,0.49896229860376107,0.9849978674961947,0.6761234
MAP3K7CL,Vascular_cell,2.0287776,0.49896229860376107,0.9849978674961947,0.6761234
ENSG00000267520,Vascular_cell,2.3397286,0.49896229860376107,0.9849978674961947,0.6761234
YBX1,Vascular_cell,1.0140907,0.49896229860376107,0.9849978674961947,0.6761234
MVD,Vascular_cell,1.2000661,0.49896229860376107,0.9849978674961947,0.6761234
CAPN2,Vascular_cell,0.6614925,0.49896229860376107,0.9849978674961947,0.6761234
TMEM175,Vascular_cell,0.83820283,0.49896229860376107,0.9849978674961947,0.6761234
MOB3A,Vascular_cell,1.6232948,0.49896229860376107,0.9849978674961947,0.6761234
LIMCH1,Vascular_cell,0.6444841,0.49896229860376107,0.9849978674961947,0.6761234
TPK1,Vascular_cell,1.0571609,0.49896229860376107,0.9849978674961947,0.6761234
SF3B2,Vascular_cell,1.0877312,0.49896229860376107,0.9849978674961947,0.6761234
CEMIP,Vascular_cell,0.14254154,0.49896229860376107,0.9849978674961947,0.6761234
UBE2J1,Vascular_cell,0.7918629,0.49896229860376107,0.9849978674961947,0.6761234
MRPS34,Vascular_cell,1.6838698,0.49896229860376107,0.9849978674961947,0.6761234
CBLB,Vascular_cell,0.55524975,0.49896229860376107,0.9849978674961947,0.6761234
FADS1,Vascular_cell,0.9904587,0.49896229860376107,0.9849978674961947,0.6761234
APBB1,Vascular_cell,0.97982067,0.49896229860376107,0.9849978674961947,0.6761234
IGHEP2,Vascular_cell,1.5258484,0.49896229860376107,0.9849978674961947,0.6761234
CIAO1,Vascular_cell,0.39889956,0.49896229860376107,0.9849978674961947,0.6761234
WASF2,Vascular_cell,0.4984345,0.49896229860376107,0.9849978674961947,0.6761234
PDK1-AS1,Vascular_cell,1.7155738,0.49896229860376107,0.9849978674961947,0.6761234
MAL2,Vascular_cell,1.2094575,0.49896229860376107,0.9849978674961947,0.6761234
MED4,Vascular_cell,0.49252927,0.49896229860376107,0.9849978674961947,0.6761234
WBP1L,Vascular_cell,1.0138968,0.49896229860376107,0.9849978674961947,0.6761234
TMEM167A,Vascular_cell,0.7422677,0.49896229860376107,0.9849978674961947,0.6761234
LRRTM3,Vascular_cell,0.6135316,0.49896229860376107,0.9849978674961947,0.6761234
CCT7,Vascular_cell,1.5974255,0.49896229860376107,0.9849978674961947,0.6761234
CTNND1,Vascular_cell,0.7867446,0.49896229860376107,0.9849978674961947,0.6761234
ENSG00000290854,Vascular_cell,1.4645069,0.49896229860376107,0.9849978674961947,0.6761234
UTRN,Vascular_cell,-0.11850313,0.49896229860376107,0.9849978674961947,0.6761234
ITGA9,Vascular_cell,0.9454252,0.5261684777561433,0.9849978674961947,0.6338657
HNRNPH2,Vascular_cell,0.5894088,0.5261684777561433,0.9849978674961947,0.6338657
MINDY3,Vascular_cell,0.54837584,0.5261684777561433,0.9849978674961947,0.6338657
TTL,Vascular_cell,1.1576531,0.5261684777561433,0.9849978674961947,0.6338657
NDUFB8,Vascular_cell,0.51267946,0.5261684777561433,0.9849978674961947,0.6338657
MRPS31P5,Vascular_cell,1.3670065,0.5261684777561433,0.9849978674961947,0.6338657
MED13L,Vascular_cell,0.61487794,0.5261684777561433,0.9849978674961947,0.6338657
ENSG00000290830,Vascular_cell,1.1430874,0.5261684777561433,0.9849978674961947,0.6338657
MLXIP,Vascular_cell,1.085063,0.5261684777561433,0.9849978674961947,0.6338657
ACOT9,Vascular_cell,1.5390463,0.5261684777561433,0.9849978674961947,0.6338657
JTB,Vascular_cell,0.95845366,0.5261684777561433,0.9849978674961947,0.6338657
BTN2A1,Vascular_cell,0.81051093,0.5261684777561433,0.9849978674961947,0.6338657
AP3S2,Vascular_cell,1.2788297,0.5261684777561433,0.9849978674961947,0.6338657
EIF2B1,Vascular_cell,0.5929405,0.5261684777561433,0.9849978674961947,0.6338657
GTF2H3,Vascular_cell,1.3661199,0.5261684777561433,0.9849978674961947,0.6338657
CC2D1A,Vascular_cell,0.996338,0.5261684777561433,0.9849978674961947,0.6338657
KANK1,Vascular_cell,0.14868814,0.5261684777561433,0.9849978674961947,0.6338657
AKNA,Vascular_cell,1.454778,0.5261684777561433,0.9849978674961947,0.6338657
AGFG1,Vascular_cell,0.58690846,0.5261684777561433,0.9849978674961947,0.6338657
MT2A,Vascular_cell,1.6913656,0.5261684777561433,0.9849978674961947,0.6338657
SMAP2,Vascular_cell,0.11416644,0.5261684777561433,0.9849978674961947,0.6338657
SMARCA5,Vascular_cell,0.54978997,0.5261684777561433,0.9849978674961947,0.6338657
WDR33,Vascular_cell,0.81432587,0.5261684777561433,0.9849978674961947,0.6338657
DESI1,Vascular_cell,1.6394902,0.5261684777561433,0.9849978674961947,0.6338657
MRPL43,Vascular_cell,1.0548435,0.5261684777561433,0.9849978674961947,0.6338657
NRCAM,Vascular_cell,0.1432611,0.5261684777561433,0.9849978674961947,0.6338657
UBXN4,Vascular_cell,0.6777551,0.5261684777561433,0.9849978674961947,0.6338657
MED12,Vascular_cell,1.5299352,0.5261684777561433,0.9849978674961947,0.6338657
ARRDC3,Vascular_cell,1.0279043,0.5261684777561433,0.9849978674961947,0.6338657
RADIL,Vascular_cell,1.7721112,0.5261684777561433,0.9849978674961947,0.6338657
HBP1,Vascular_cell,1.0460691,0.5261684777561433,0.9849978674961947,0.6338657
RIOK2,Vascular_cell,1.4485085,0.5261684777561433,0.9849978674961947,0.6338657
TTC21A,Vascular_cell,1.2633601,0.5261684777561433,0.9849978674961947,0.6338657
SRSF7,Vascular_cell,0.7968544,0.5261684777561433,0.9849978674961947,0.6338657
MX1,Vascular_cell,0.47553545,0.5261684777561433,0.9849978674961947,0.6338657
AMOT,Vascular_cell,1.5698627,0.5261684777561433,0.9849978674961947,0.6338657
TPST1,Vascular_cell,1.1317549,0.5261684777561433,0.9849978674961947,0.6338657
NSMCE1,Vascular_cell,1.8480428,0.5261684777561433,0.9849978674961947,0.6338657
POMP,Vascular_cell,0.4081715,0.5261684777561433,0.9849978674961947,0.6338657
ANAPC5,Vascular_cell,0.42353103,0.5261684777561433,0.9849978674961947,0.6338657
AARSD1,Vascular_cell,1.0476282,0.5261684777561433,0.9849978674961947,0.6338657
APPBP2,Vascular_cell,1.315239,0.5261684777561433,0.9849978674961947,0.6338657
DEPDC1B,Vascular_cell,0.86369044,0.5261684777561433,0.9849978674961947,0.6338657
GPATCH8,Vascular_cell,0.81779057,0.5261684777561433,0.9849978674961947,0.6338657
GNPTAB,Vascular_cell,1.0215182,0.5261684777561433,0.9849978674961947,0.6338657
MIR3936HG,Vascular_cell,0.8728221,0.5261684777561433,0.9849978674961947,0.6338657
PSMG2,Vascular_cell,1.3390304,0.5261684777561433,0.9849978674961947,0.6338657
